FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Label
image-000,0,836,181,174,325,37.083333333333336,Garbage
image-002,0,1155,305,61,54,16.074074074074073,Paragraph
image-002,1,1120,359,122,89,15.19047619047619,Paragraph
image-002,2,1084,410,179,125,15.071428571428571,Paragraph
image-003,0,1147,59,79,49,21.35483870967742,Garbage
image-003,1,914,35,52,234,64.81818181818181,Garbage
image-003,2,605,170,188,530,30.78888888888889,Garbage
image-003,3,417,279,277,791,17.428571428571427,Garbage
image-003,4,384,309,295,826,17.818181818181817,Garbage
image-003,5,92,101,95,1115,19.483870967741936,Garbage
image-003,6,49,144,144,1162,13.128205128205128,Garbage
image-004,0,1151,55,83,49,21.35483870967742,Garbage
image-004,1,927,35,64,222,50.07142857142857,Garbage
image-004,2,593,370,399,602,31,Garbage
image-004,3,93,86,101,1117,19.774193548387096,Garbage
image-004,4,48,135,157,1163,15.393939393939394,Garbage
image-005,0,891,34,33,223,12.574556766428106,Paragraph
image-005,1,617,30,31,345,12.961054057526304,Paragraph
image-005,2,588,41,542,625,11.421052631578947,Paragraph
image-005,3,435,31,33,650,12.977555190658638,Paragraph
image-006,0,724,153,152,405,27.837662337662337,Title
image-007,0,759,85,111,373,14.74996677299309,Title
image-007,1,708,286,302,500,12.470588235294118,Title
image-007,2,633,30,50,546,11.921480530594781,Paragraph
image-007,3,175,27,38,608,12.651287316966974,Paragraph
image-007,4,39,31,38,1119,10.862892926296709,Comment
image-008,0,1179,33,744,32,11.5,Garbage
image-008,1,1177,270,262,33,10.307692307692308,Garbage
image-008,2,1083,38,37,97,12.810734463276837,Paragraph
image-008,3,1054,39,562,159,11.705882352941176,Paragraph
image-008,4,839,36,32,186,12.778324862163293,Paragraph
image-008,5,809,39,630,405,11.909090909090908,Paragraph
image-008,6,778,79,32,432,12.087719298245615,Paragraph
image-008,7,747,36,670,465,11.75,Paragraph
image-008,8,533,36,30,491,11.992999114592259,Paragraph
image-008,9,504,36,579,710,12.333333333333334,Paragraph
image-008,10,96,32,34,759,10.668324683080275,Comment
image-008,11,46,33,34,1142,10.487812911725955,Comment
image-009,0,1166,263,270,46,10.26923076923077,Garbage
image-009,1,1167,737,40,43,11.5,Garbage
image-009,2,1071,36,39,107,12.569555484489925,Paragraph
image-009,3,1041,38,518,173,11.619047619047619,Paragraph
image-009,4,978,36,40,201,12.63984461709212,Paragraph
